sentence,char_count,token_count
ཨ་དཔའུ་ཟེར་མི་ ཁྱེགས་ཟས་ཐོན་སྐྱེད་འཕྲུལ་ཁང་གིས་ སོ་ནམ་པ་ཚུ་ལུ་ རྒྱབ་སྐྱོར་འབད་ཡོདཔ།,83,20
ལེགས་ཤོམ་མཐོང་དོ་ཡོདཔ་ཞིན་དུ་ འབྲུག་པ སྤག་ཅུང་སྦེ་སོང་ཡོད་མི་དེ་ བསྡུ་ལེན་འབད་མི་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ མི་མང་སྤུངས་འཛོམས་འབད་མི་གིས་ ནི ཨོམ་ཚུ་དགེ་ལེགས་ཕུག་བའུན་ཊི་ཚོང་འབྲེལ་ཁང་ནང་སྦེ་ ལག་ལེན་འཐབ་ནི་དེ་གིས་ཨིན་པས།,220,56
ཨ་དཔའུ་ཟེར་མི་ཁྱེགས་ཟས་ཀྱི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྤག་ཅུང་སྦེ་སོང་ཡོད་མི་དེ་ བུམ་ཐང བསྡུ་ལེན་འབད་མི་ལུ་ རག་ལས་ནི་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཨོམ་ཚུ་དགེ་ལེགས་ཕུག་བའུན་ཊི་ཚོང་འབྲེལ་ཁང་ནང་སྦེ་ ཉེས་ཚོགས ལག་ལེན་འཐབ་ནི་དེ་གིས་ཨིན་པས།,229,59
ཨ་དཔའུ་ཟེར་མི་ཁྱེགས་ཟས་ཀྱི་ ཁེ་ཕན་ཚུ་བྱུང་དོ་ཡོདཔ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབསྡུ་ལེན་འབད་མི་ལུ་ སྤ་རོ རག་ལས་ནི་དང་ འོང་འབབ་ཀྱི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལག་ལེན་འཐབ་ནི་དེ་གིས་ཨིན་པས།,181,48
ཨ་དཔའུ་ཟེར་མི་ཁྱེགས་ཟས་ཀྱི་ གཞུང་རྒྱུན ཁེ་ཕན་ཚུ་བྱུང་དོ་ཡོདཔ་ད་ ཡོདཔ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལརག་ལས་ནི་དང་ ཨེ་མ་དར་ཚི འོང་འབབ་ཀྱི་ བྱ་རིམ་སྒྲིག་ནི་ཚུ་ཨིན་པས།,159,42
ཧེ་མ་བཟོ་མི་ཁྱེགས་ཟས་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཁེ་ཕན་ཚུ་བྱུང་དོ་ཡོདཔ་ད་ དབྱེ་ཞིབ ཡོདཔ་ད་ ཡོད་མི་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ འོང་འབབ་ཀྱི་ ཉེས་ཚོགས བྱ་རིམ་སྒྲིག་ནི་ཚུ་ཨིན་པས།,176,46
ཧེ་མ་བཟོ་མི་ཁྱེགས་ཟས་ཚུ་ འཐུས་མི་༡༣༤ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཡོདཔ་ད་ དབང་འདུས ཡོད་མི་གིས་ དེ་ཅིག་ར་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབྱ་རིམ་སྒྲིག་ནི་ཚུ་ཨིན་པས།,150,39
འགྲོས་ཀྱིས་སྦེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའཇམ་ཏོང་ཏོ་ཡོད་མི་དེ་ཡང་ ནགས་ཚལ བསྡུ་ལེན་འབད་མི་ ཁ་གི་སྤྱི་ཏོག་གུ་ལུ་ར་ཡོདཔ་བཞིན་དུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཔ་ཚུན་ལུ་ རྫོང་ཁ ལཱ་ཁག་བཏང་དོ་ཡོདཔ་ཨིན་པས།,191,50
འགྲོས་ཀྱིས་སྦེ་ ཨོམ་གྱི་ཚད་གཞི་དེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབསྡུ་ལེན་འབད་མི་ དཀྱིལ་ར ཁ་གི་སྤྱི་ཏོག་གུ་ལུ་ར་ཡོདཔ་བཞིན་དུ་ བཟའ་ཚང་ཆུང་བའི་སྡེ་ཚན་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལཱ་ཁག་བཏང་དོ་ཡོདཔ་ཨིན་པས།,195,50
འགྲོས་ཀྱིས་སྦེ་ ཀརྨ ཨོམ་གྱི་ཚད་གཞི་དེ་ དགེ་ལེགས་ཕུག་རྒེད་འོག་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཁ་གི་སྤྱི་ཏོག་གུ་ལུ་ར་ཡོདཔ་བཞིན་དུ་ འབྲུག བཟའ་ཚང་ཆུང་བའི་སྡེ་ཚན་དང་ སེམས་ཤུགས་བསྐྱེད་དོ་ཡོདཔ་ཨིན་པས།,189,46
